1,85.T0.3-142-G-016-1.2.H
1,286.T0.3-142-G-016-1.4.R
1,95.T0.3-142-G-016-1.2.H
1,295.T0.3-142-G-016-1.4.R
1,104.T0.3-142-G-016-1.2.H
1,304.T0.3-142-G-016-1.4.R
1,113.T0.3-142-G-016-1.2.H
1,314.T0.3-142-G-016-1.4.R
1,123.T0.3-142-G-016-1.2.H
1,324.T0.3-142-G-016-1.4.R
1,133.T0.3-142-G-016-1.2.H
1,332.T0.3-142-G-016-1.4.R
1,141.T0.3-142-G-016-1.2.H
1,343.T0.3-142-G-016-1.4.R
1,152.T0.3-142-G-016-1.2.H
1,352.T0.3-142-G-016-1.4.R
1,161.T0.3-142-G-016-1.2.H
1,361.T0.3-142-G-016-1.4.R
1,170.T0.3-142-G-016-1.2.H
1,371.T0.3-142-G-016-1.4.R
1,179.T0.3-142-G-016-1.2.H
1,380.T0.3-142-G-016-1.4.R
1,189.T0.3-142-G-016-1.2.H
1,389.T0.3-142-G-016-1.4.R
1,199.T0.3-142-G-016-1.2.H
1,1_fromDepot
1,1_toDepot
2,8.T0.3-142-G-016-1.2.H
2,208.T0.3-142-G-016-1.4.R
2,17.T0.3-142-G-016-1.2.H
2,217.T0.3-142-G-016-1.4.R
2,26.T0.3-142-G-016-1.2.H
2,227.T0.3-142-G-016-1.4.R
2,36.T0.3-142-G-016-1.2.H
2,237.T0.3-142-G-016-1.4.R
2,46.T0.3-142-G-016-1.2.H
2,245.T0.3-142-G-016-1.4.R
2,54.T0.3-142-G-016-1.2.H
2,254.T0.3-142-G-016-1.4.R
2,63.T0.3-142-G-016-1.2.H
2,264.T0.3-142-G-016-1.4.R
2,73.T0.3-142-G-016-1.2.H
2,275.T0.3-142-G-016-1.4.R
2,84.T0.3-142-G-016-1.2.H
2,284.T0.3-142-G-016-1.4.R
2,93.T0.3-142-G-016-1.2.H
2,293.T0.3-142-G-016-1.4.R
2,102.T0.3-142-G-016-1.2.H
2,303.T0.3-142-G-016-1.4.R
2,112.T0.3-142-G-016-1.2.H
2,312.T0.3-142-G-016-1.4.R
2,121.T0.3-142-G-016-1.2.H
2,322.T0.3-142-G-016-1.4.R
2,131.T0.3-142-G-016-1.2.H
2,331.T0.3-142-G-016-1.4.R
2,140.T0.3-142-G-016-1.2.H
2,340.T0.3-142-G-016-1.4.R
2,149.T0.3-142-G-016-1.2.H
2,350.T0.3-142-G-016-1.4.R
2,159.T0.3-142-G-016-1.2.H
2,360.T0.3-142-G-016-1.4.R
2,169.T0.3-142-G-016-1.2.H
2,369.T0.3-142-G-016-1.4.R
2,178.T0.3-142-G-016-1.2.H
2,379.T0.3-142-G-016-1.4.R
2,187.T0.3-142-G-016-1.2.H
2,388.T0.3-142-G-016-1.4.R
2,197.T0.3-142-G-016-1.2.H
2,2_fromDepot
2,2_toDepot
3,206.T0.3-142-G-016-1.4.R
3,15.T0.3-142-G-016-1.2.H
3,216.T0.3-142-G-016-1.4.R
3,25.T0.3-142-G-016-1.2.H
3,224.T0.3-142-G-016-1.4.R
3,33.T0.3-142-G-016-1.2.H
3,235.T0.3-142-G-016-1.4.R
3,44.T0.3-142-G-016-1.2.H
3,244.T0.3-142-G-016-1.4.R
3,53.T0.3-142-G-016-1.2.H
3,253.T0.3-142-G-016-1.4.R
3,62.T0.3-142-G-016-1.2.H
3,263.T0.3-142-G-016-1.4.R
3,72.T0.3-142-G-016-1.2.H
3,273.T0.3-142-G-016-1.4.R
3,82.T0.3-142-G-016-1.2.H
